2023-07-19T01:37:59.853Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:14.847Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:14.861Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:29.854Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:29.872Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:44.859Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:44.868Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:59.863Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:38:59.880Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:14.866Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:14.875Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:23.485Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/mastership	mastership/controller.go:48	Reconciling mastership election for e2 Node  a1:rimedo-ts-7bf45bc9b7-s8mff
2023-07-19T01:39:29.870Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:29.883Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:44.875Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:44.887Z	INFO	github.com/onosproject/onos-e2t/pkg/controller/e2t	e2t/controller.go:109	Reconciling E2T entity with ID: e2:onos-e2t-c6d5ff8b6-srvb5
2023-07-19T01:39:52.868Z	INFO	github.com/onosproject/onos-e2t/pkg/protocols/sctp	sctp/server.go:86	Accepted connection from 192.168.84.25:44897
